Trinket,900,905,910,915,920,925,930,935,940,945,950,955,970
FaultyCountermeasure,47133,49282,51448,51344,54524,54524,58996,58427,61190,66189,67256,68669,0
DraughtOfSouls,51530,53214,55330,60024,61514,63702,66168,70923,73053,75786,79662,82776,0
HornOfValor,62237,67818,69529,72192,75512,79459,79095,82192,87182,89276,92253,96857,0
InfernalCinders,63509,67808,69489,71514,74774,78036,79946,85160,90248,92531,97224,99708,0
NightbloomingFrond,81892,88095,92217,97694,100409,106791,112867,115108,123085,126358,134993,140090,0
SpecterOfBetrayal,89784,97245,101190,103564,109697,115744,120976,126356,130891,139292,145405,152784,0
RavagedSeedPod,32466,31115,34052,34401,34066,33240,37261,36338,37967,39831,41761,42063,0
NaturesCall,45809,48062,48461,49100,48324,50999,53397,51875,53583,55282,54051,57618,0
InfernalCinders_3Users,71035,74816,76076,79450,83290,84369,88441,94606,95924,99501,104117,108953,0
ConvergenceOfFates,65641,67740,69023,71859,74669,78366,81277,83935,86801,91748,94541,99410,0
ArcanogolemDigit,64183,67398,73707,78255,78919,83505,85819,90326,95602,102933,104931,110201,0
MarkOfDargrul,36872,37624,39174,41223,41106,40762,42280,45396,45310,48580,50919,52489,0
EntwinedElementalFoci,74691,76826,80759,84381,88985,91510,93403,96860,102614,106467,110535,114738,0
BloodthirstyInstict,71429,75744,79646,82978,83360,86471,90900,96663,99846,104485,106448,112205,0
ChronoShard,63960,68450,69522,72843,77012,79105,82501,86636,91690,95818,99692,103506,0
UmbralMoonglaives,63668,67328,68919,73270,76005,77006,82598,83027,86102,91622,93419,97883,0
Stat_Mastery,74681,75852,80761,84833,86147,90118,95381,97190,100985,104917,111298,115327,0
EyeOfCommand,89475,94142,97212,99547,103292,106408,110793,112274,119721,125048,130433,134877,0
Stat_Crit,78071,79203,82912,87492,90931,93546,99571,98765,104756,110630,114445,119307,0
MementoOfAngerboda,72761,79124,78781,84775,85542,90342,92944,96656,100514,103261,107858,111019,0
SixFeatherFan,73211,76112,80694,83921,88428,91528,97127,104316,106365,110276,118633,120475,0
ChaosTalisman,78515,79316,86769,88359,92436,97048,101612,104885,108458,112968,119000,122877,0
BloodstainedHandkerchief,67954,66223,70700,72512,78898,81817,84879,90433,93904,96147,99802,107189,0
NightmareEggShell,66464,68115,71075,72694,77596,79840,84413,86845,93618,93389,98786,102640,0
HungerOfThePack,77887,80033,83861,85470,91259,92905,96407,101904,106519,110726,114121,119279,0
EngineOfEradication_NoOrbs,52101,52132,55163,56392,58264,61921,61617,65717,68467,69902,75537,75153,0
CradleOfAnguish,77613,79883,84572,88051,88502,91535,97639,103013,106045,111570,116008,119998,0
TemperedEggOfSerpentrix,61535,63472,65956,69961,74990,78357,80241,85295,86665,91777,94859,102458,0
SpontaneousAppendages,39508,43579,43385,44440,47251,49496,47799,52885,55685,56341,58827,60466,0
ThriceAccursedCompass,78298,82403,84218,89471,91010,93807,98451,100966,108189,109659,115001,118568,0
EngineOfEradication,76901,82220,82276,86123,88972,94657,97547,100842,104900,110476,114852,120768,0
Stat_Haste,72039,72454,78346,77579,86106,85800,89324,95307,100390,102352,105459,108325,0
UnstableArcanocrystal,75988,79168,81334,81595,86634,86113,88206,90070,91321,92766,92716,94914,0
TirathonsBetrayal,68249,69309,73598,76660,80201,85776,89108,94221,97711,105519,108826,113081,0
SpecterOfBetrayal_NoOverlap,73190,77280,79686,83599,90262,92574,96666,103290,106218,111081,115595,124764,0
TomeOfUnravelingSanity,72442,75481,78709,81739,86776,87813,96083,97311,102431,104829,110166,116026,0
Stat_Versatility,77435,79989,81955,84879,88759,92148,97484,99865,106918,108638,112519,118572,0
SpikedCounterweight,36055,38640,37427,40123,40594,41846,44112,44124,45938,45937,47472,49052,0
VialOfCeaselessToxins,78421,83611,84825,91045,94864,98212,102902,108593,113968,117952,125021,133107,0
WindscarWhetstone,29548,29853,31904,33458,33159,35201,36016,36026,36240,40966,41326,40377,0
ToeKneesPromise,34156,37084,36380,40545,40612,42141,41484,43169,44191,48130,50470,47873,0
TerrorboundNexus,38743,39498,43139,43652,44500,42801,48591,47219,51357,51773,52350,55252,0
TinyOozelingInAJar,33224,35144,33317,37310,38035,35753,39131,42186,41680,41921,42995,44400,0
KiljaedensBurningWish,0,0,0,0,0,0,0,0,117953,0,0,0,151383
InfernalAlchemistStone,0,0,0,0,0,0,0,94267,0,0,0,0,0
